sale_id,sale_date,product_id,store_id,channel_id,customer_id,quantity,gross_revenue,discount_value,net_revenue,cost
158,2024-10-28,29,14,2,86,4,722.44,0.0,722.44,461.36
159,2025-11-30,14,10,2,109,3,151.29,0.0,151.29,92.64
160,2025-01-12,50,15,1,459,5,325.8,6.52,319.28,212.9
161,2025-03-31,40,4,1,417,2,72.2,3.61,68.59,34.44
162,2025-05-22,22,13,2,339,3,250.2,16.68,233.52,145.44
163,2024-08-13,16,2,1,276,1,148.12,14.81,133.31,78.82
164,2025-09-21,10,12,2,451,4,240.92,6.02,234.9,131.92
165,2025-02-25,46,9,1,162,1,237.04,47.41,189.63,132.37
166,2025-04-16,36,2,1,301,4,840.6,42.03,798.57,566.76
167,2025-03-18,40,9,1,409,4,147.52,7.38,140.14,75.84
168,2024-09-09,45,5,1,459,4,467.84,11.7,456.14,276.28
169,2025-07-23,49,7,2,9,3,506.67,33.78,472.89,336.0
170,2025-09-17,45,3,2,172,1,220.07,0.0,220.07,121.56
171,2024-01-18,40,5,2,115,3,728.31,48.55,679.76,401.13
172,2024-04-05,41,3,2,324,5,1076.85,43.07,1033.78,500.1
173,2025-04-03,40,15,2,89,4,536.76,26.84,509.92,321.84
174,2025-06-03,40,8,2,277,2,135.96,0.0,135.96,69.58
175,2025-07-24,14,14,2,50,3,232.53,0.0,232.53,152.76
176,2024-09-10,37,9,2,328,4,916.76,45.84,870.92,590.08
177,2025-04-16,1,2,1,243,2,208.14,0.0,208.14,123.4
178,2024-07-07,35,5,1,445,2,422.76,42.28,380.48,238.62
179,2025-01-24,34,14,1,336,3,509.19,0.0,509.19,211.95
180,2024-11-25,31,8,2,396,4,252.96,0.0,252.96,107.4
181,2024-12-27,48,2,1,158,2,368.88,18.44,350.44,219.32
182,2024-09-20,37,9,2,241,2,62.44,0.0,62.44,31.6
183,2024-10-14,41,9,1,355,2,486.22,0.0,486.22,251.4
184,2025-08-10,27,3,1,27,4,700.96,35.05,665.91,315.56
185,2024-12-13,11,6,2,25,4,178.28,0.0,178.28,112.52
186,2024-06-01,42,15,2,273,5,443.5,17.74,425.76,224.35
187,2025-07-26,47,15,1,10,3,392.94,0.0,392.94,180.54
188,2025-03-06,50,13,2,333,1,183.39,0.0,183.39,119.7
189,2024-05-30,31,5,1,433,5,1201.65,24.03,1177.62,647.2
190,2024-04-17,44,3,2,180,3,186.9,0.0,186.9,77.94
191,2025-12-03,46,9,2,190,2,243.34,12.17,231.17,160.92
192,2025-12-29,47,7,2,250,3,230.61,7.69,222.92,105.45
193,2024-06-27,17,14,2,327,4,777.16,38.86,738.3,533.44
194,2024-06-07,28,1,2,132,5,465.55,0.0,465.55,202.05
195,2025-12-13,32,6,1,121,5,915.4,36.62,878.78,542.2
196,2024-07-23,5,12,2,451,1,56.24,5.62,50.62,35.42
197,2025-03-16,36,14,2,352,1,208.43,20.84,187.59,111.04
198,2024-11-13,44,4,2,182,4,322.36,0.0,322.36,160.16
199,2024-08-08,14,14,2,339,4,702.88,17.57,685.31,469.32
200,2024-04-02,28,5,1,262,5,1130.45,22.61,1107.84,653.35
201,2025-05-18,6,6,2,21,3,552.36,36.82,515.54,307.5
202,2025-10-18,8,11,1,266,5,1205.4,24.11,1181.29,582.65
203,2024-03-26,18,2,2,81,3,99.15,3.3,95.85,62.16
204,2024-11-27,46,7,1,362,2,453.62,22.68,430.94,264.3
205,2024-03-17,29,10,2,333,4,654.32,32.72,621.6,417.68
206,2025-03-02,12,6,1,130,5,262.2,0.0,262.2,178.35
207,2024-05-29,27,13,2,11,1,101.92,0.0,101.92,44.79
208,2024-01-11,26,9,2,169,4,713.12,17.83,695.29,287.24
209,2025-05-14,38,7,2,143,2,258.28,0.0,258.28,106.5
210,2024-08-28,32,15,1,480,2,170.48,17.05,153.43,101.26
211,2025-12-13,28,6,1,30,4,841.96,42.1,799.86,421.96
212,2025-11-16,4,11,2,362,4,830.52,41.53,788.99,550.8
213,2025-04-22,43,8,2,494,4,451.24,0.0,451.24,312.96
214,2025-08-08,43,14,2,409,1,151.33,0.0,151.33,99.06
215,2025-11-29,3,9,2,220,2,140.2,14.02,126.18,61.74
216,2025-09-13,43,3,1,50,4,549.28,27.46,521.82,323.76
217,2025-07-07,14,15,1,289,1,59.92,0.0,59.92,32.28
218,2025-10-17,21,15,1,177,2,453.78,45.38,408.4,260.44
219,2025-07-06,21,13,2,232,3,622.47,0.0,622.47,283.17
220,2024-02-14,9,9,2,3,1,249.46,49.89,199.57,105.72
221,2025-12-14,37,10,1,187,4,802.96,0.0,802.96,545.2
222,2025-11-24,37,5,2,378,3,378.48,12.62,365.86,235.02
223,2025-11-24,49,1,1,160,5,631.8,12.64,619.16,364.3
224,2025-03-05,3,3,2,416,4,217.84,0.0,217.84,123.64
225,2025-04-30,16,8,1,187,4,776.6,38.83,737.77,528.68
226,2025-05-16,38,2,2,354,2,153.98,7.7,146.28,74.26
227,2025-12-06,12,9,1,486,3,429.96,14.33,415.63,184.89
228,2025-06-12,44,12,2,185,5,1020.7,40.83,979.87,674.55
229,2024-03-01,46,6,2,218,2,83.0,8.3,74.7,43.12
230,2024-06-30,32,12,2,497,1,220.17,22.02,198.15,135.87
231,2025-08-04,7,13,1,245,3,539.1,35.94,503.16,284.58
232,2025-06-25,31,8,1,472,4,679.44,33.97,645.47,459.24
233,2024-05-06,30,4,1,190,1,112.01,11.2,100.81,55.76
234,2024-12-30,10,13,2,176,2,394.46,19.72,374.74,231.6
235,2025-02-26,14,5,1,84,2,84.02,4.2,79.82,41.2
236,2025-01-05,10,5,1,125,3,353.4,0.0,353.4,202.92
237,2025-12-14,40,14,2,296,1,68.92,0.0,68.92,42.45
238,2025-08-22,22,10,1,453,5,685.45,13.71,671.74,276.25
239,2024-11-24,50,4,1,176,5,462.1,18.48,443.62,249.9
240,2024-08-30,9,10,1,439,3,407.07,27.14,379.93,181.62
241,2025-09-26,2,9,2,467,2,301.1,0.0,301.1,156.32
242,2024-12-06,9,13,2,449,5,455.8,18.23,437.57,252.4
243,2024-01-19,4,2,2,36,4,551.76,0.0,551.76,318.0
244,2025-09-08,1,15,2,10,5,1080.45,21.61,1058.84,635.65
245,2025-06-26,14,5,2,430,3,163.83,10.92,152.91,108.24
246,2024-08-21,12,1,2,84,1,124.71,0.0,124.71,60.5
247,2025-06-16,44,8,1,336,2,67.48,6.75,60.73,35.02
248,2024-04-15,48,5,2,104,3,183.15,0.0,183.15,108.99
249,2025-03-12,19,7,1,321,5,353.25,0.0,353.25,143.65
250,2025-10-03,24,4,1,47,3,731.94,48.8,683.14,367.35
251,2025-12-17,33,1,1,339,3,640.35,0.0,640.35,307.89
252,2025-12-26,40,2,1,56,1,241.62,48.32,193.3,115.49
253,2024-06-03,7,14,2,144,3,614.58,20.49,594.09,326.01
254,2024-04-17,10,14,1,21,2,238.34,23.83,214.51,141.96
255,2024-03-26,3,6,2,471,2,231.04,23.1,207.94,152.68
256,2024-08-17,50,11,2,31,4,730.56,0.0,730.56,499.92
257,2025-01-03,9,6,1,411,1,37.27,0.0,37.27,20.31
258,2024-02-03,9,1,2,337,2,250.76,0.0,250.76,168.34
259,2024-12-09,23,6,2,244,3,187.83,12.52,175.31,111.84
260,2025-09-04,31,6,2,498,2,244.74,12.24,232.5,111.06
261,2025-01-10,15,8,1,257,4,534.8,26.74,508.06,240.72
262,2025-02-14,13,6,1,403,4,543.64,0.0,543.64,367.0
263,2025-08-13,27,4,2,466,1,141.8,0.0,141.8,94.02
264,2025-01-28,30,4,2,42,4,370.96,0.0,370.96,252.72
265,2024-11-24,38,3,2,264,5,534.9,0.0,534.9,287.5
266,2025-02-23,19,5,1,200,2,86.46,4.32,82.14,38.46
267,2025-09-09,40,6,2,485,4,827.64,20.69,806.95,390.56
268,2024-06-25,20,4,2,392,3,451.59,30.11,421.48,295.8
269,2025-12-25,37,2,1,81,4,284.72,14.24,270.48,150.8
270,2025-08-11,9,12,2,117,5,499.25,9.98,489.27,339.45
271,2025-07-24,22,13,2,118,2,232.32,0.0,232.32,116.3
272,2025-02-13,34,14,2,216,1,96.67,9.67,87.0,49.9
273,2025-07-16,29,4,2,165,3,730.2,48.68,681.52,473.85
274,2025-11-01,40,15,1,29,4,553.36,13.83,539.53,238.8
275,2024-09-19,6,10,2,385,2,429.16,42.92,386.24,176.26
276,2024-02-12,37,13,2,494,3,449.01,29.93,419.08,230.13
277,2024-03-07,13,7,2,128,2,156.78,15.68,141.1,64.26
278,2025-08-23,20,13,2,124,5,959.9,38.4,921.5,577.15
279,2024-06-16,36,8,1,97,3,238.5,7.95,230.55,159.15
280,2025-12-19,29,8,2,275,4,958.84,23.97,934.87,599.08
281,2024-05-06,46,1,1,151,4,905.76,0.0,905.76,485.16
282,2025-02-14,15,7,1,361,4,859.88,21.5,838.38,522.4
283,2024-06-11,20,10,2,239,5,210.4,4.21,206.19,115.25
284,2025-04-02,7,12,2,93,2,400.24,0.0,400.24,244.2
285,2024-01-08,38,4,1,287,2,109.9,10.99,98.91,72.94
286,2025-08-10,16,2,1,83,3,429.57,0.0,429.57,256.47
287,2025-06-02,12,10,2,323,4,383.48,19.17,364.31,251.64
288,2025-07-10,10,6,2,189,3,127.29,4.24,123.05,76.95
289,2025-12-05,33,6,2,273,3,104.85,6.99,97.86,70.2
290,2024-05-28,3,5,2,332,2,189.46,9.47,179.99,110.58
291,2024-01-28,12,5,2,303,1,74.2,0.0,74.2,48.85
292,2024-12-21,23,11,2,168,4,876.68,21.92,854.76,573.88
293,2025-11-19,16,14,1,373,2,112.88,11.29,101.59,59.04
294,2025-08-29,23,7,1,39,4,251.6,6.29,245.31,153.24
295,2025-03-18,13,3,2,78,4,133.12,6.66,126.46,56.56
296,2025-04-13,3,14,1,91,4,385.6,9.64,375.96,221.88
297,2024-08-02,19,14,2,208,5,337.25,13.49,323.76,220.8
298,2025-10-03,31,3,2,443,1,235.62,23.56,212.06,115.86
299,2024-10-29,34,15,2,53,3,737.01,0.0,737.01,440.34
300,2024-12-23,27,5,1,426,2,376.94,0.0,376.94,211.92
301,2025-04-07,43,11,2,95,4,821.8,0.0,821.8,524.32
302,2024-04-09,25,9,1,478,2,266.52,26.65,239.87,179.34
303,2025-10-15,7,11,1,475,1,50.29,0.0,50.29,33.75
304,2025-05-14,36,8,1,186,1,241.56,0.0,241.56,155.59
305,2024-02-28,49,6,2,69,1,179.74,17.97,161.77,96.72
306,2024-04-18,27,14,1,314,3,337.41,0.0,337.41,153.9
307,2025-01-28,19,14,1,290,1,75.45,15.09,60.36,41.87
308,2025-04-01,44,8,1,326,1,49.04,0.0,49.04,33.26
309,2024-02-26,8,7,1,186,4,775.16,38.76,736.4,532.56
310,2024-11-11,28,14,1,482,2,179.5,0.0,179.5,115.46
311,2025-05-27,25,9,2,416,2,393.52,19.68,373.84,195.74
312,2024-12-16,2,8,1,338,2,249.78,0.0,249.78,153.7
313,2025-01-14,20,5,2,138,2,268.4,0.0,268.4,182.12
314,2024-07-02,43,12,2,199,4,329.68,16.48,313.2,201.16
315,2024-10-11,43,7,2,231,4,719.28,0.0,719.28,296.44
316,2025-03-10,40,8,1,204,5,309.1,6.18,302.92,127.25
317,2024-10-26,30,7,2,327,1,87.27,17.45,69.82,36.85
318,2025-08-29,37,15,2,12,2,417.08,0.0,417.08,263.56
319,2024-06-08,47,1,2,131,3,273.12,0.0,273.12,157.71
320,2025-07-16,26,1,2,387,2,309.52,0.0,309.52,186.02
321,2025-05-15,8,6,1,114,2,387.66,19.38,368.28,216.38
322,2024-04-10,36,3,1,60,4,338.68,0.0,338.68,174.92
323,2025-11-18,39,7,2,203,1,210.15,0.0,210.15,143.18
324,2025-11-30,13,1,2,93,1,77.42,15.48,61.94,46.94
325,2025-07-29,43,10,1,126,4,970.08,24.25,945.83,461.52
326,2024-05-21,13,8,2,72,2,367.42,18.37,349.05,151.78
327,2025-11-05,3,13,1,354,5,949.55,0.0,949.55,462.7
328,2024-01-10,22,13,2,62,2,242.5,12.12,230.38,102.9
329,2025-10-06,25,7,2,210,4,208.84,5.22,203.62,119.64
330,2025-05-05,46,14,2,38,5,1191.75,23.84,1167.91,525.25
331,2024-06-04,3,7,2,244,3,623.61,41.57,582.04,395.52
332,2025-02-15,24,4,2,9,5,1249.55,49.98,1199.57,818.25
333,2025-07-07,38,3,1,448,4,757.56,18.94,738.62,307.48
334,2024-10-16,11,9,2,231,1,181.38,0.0,181.38,122.25
335,2025-05-29,24,5,2,477,5,1062.25,0.0,1062.25,580.05
336,2024-04-28,38,14,2,51,5,1047.75,0.0,1047.75,638.2
337,2024-07-02,2,5,1,171,4,260.12,0.0,260.12,167.6
338,2024-03-18,5,13,1,225,1,148.64,29.73,118.91,77.68
339,2025-04-21,28,13,2,427,3,352.62,11.75,340.87,219.33
340,2025-11-01,49,7,2,50,2,214.24,10.71,203.53,119.88
341,2025-06-07,26,8,2,298,3,687.09,0.0,687.09,322.26
342,2024-06-28,2,14,2,441,4,219.56,10.98,208.58,91.56
343,2024-07-07,21,4,2,107,2,147.46,7.37,140.09,61.52
344,2024-11-14,4,3,1,369,1,49.92,4.99,44.93,21.0
345,2024-11-25,32,14,2,122,1,89.93,17.99,71.94,43.15
346,2025-01-05,33,5,2,260,3,653.85,0.0,653.85,397.11
347,2025-06-14,6,5,2,147,1,200.31,0.0,200.31,109.5
348,2024-08-09,11,3,2,284,3,233.28,15.55,217.73,158.07
349,2024-01-20,29,10,2,81,1,109.86,21.97,87.89,60.8
350,2024-08-28,32,15,1,348,2,63.5,6.35,57.15,41.44
351,2025-05-11,45,10,1,182,5,1016.85,40.67,976.18,437.3
352,2025-09-01,31,3,1,240,1,234.41,23.44,210.97,123.31
353,2025-12-04,36,3,2,56,5,928.05,0.0,928.05,569.7
354,2024-03-05,15,6,1,11,3,240.06,16.0,224.06,161.4
355,2024-10-26,29,15,2,117,2,390.96,39.1,351.86,254.3
356,2025-04-15,1,10,2,478,5,1240.6,49.62,1190.98,816.7
357,2025-03-17,35,15,1,413,4,819.24,0.0,819.24,558.12
358,2024-12-20,6,15,2,70,2,457.9,0.0,457.9,302.94
359,2024-04-11,20,4,2,362,4,983.44,0.0,983.44,651.08
360,2025-09-21,38,2,2,348,3,672.18,0.0,672.18,300.63
361,2025-05-18,21,9,1,281,1,235.2,47.04,188.16,136.09
362,2024-10-16,33,5,1,364,4,686.72,34.34,652.38,275.48
363,2024-04-30,29,11,2,368,1,130.22,13.02,117.2,57.51
364,2025-07-23,26,5,1,480,2,261.78,26.18,235.6,153.82
365,2025-01-27,50,10,2,128,1,47.49,0.0,47.49,23.53
366,2024-11-19,32,4,2,317,1,96.58,0.0,96.58,50.06
367,2025-09-08,37,11,2,283,3,107.22,0.0,107.22,61.77
368,2024-04-01,45,11,2,60,5,807.45,32.3,775.15,411.4
369,2025-02-12,16,4,2,478,4,872.4,0.0,872.4,495.08
370,2024-06-22,20,1,2,179,2,434.82,43.48,391.34,254.82
371,2024-05-23,11,10,2,136,2,409.52,0.0,409.52,199.38
372,2025-11-02,50,11,1,18,5,994.5,39.78,954.72,513.55
373,2025-05-22,43,10,2,118,1,148.92,14.89,134.03,90.63
374,2025-01-27,39,9,2,287,2,151.88,7.59,144.29,87.24
375,2024-04-11,2,8,1,147,1,131.29,26.26,105.03,85.11
376,2024-10-11,2,12,2,400,4,299.16,14.96,284.2,197.08
377,2024-07-29,20,9,2,445,2,346.6,17.33,329.27,177.62
378,2024-02-24,44,3,2,253,5,317.1,0.0,317.1,205.25
379,2025-05-09,41,12,1,11,4,601.4,0.0,601.4,327.84
380,2025-07-18,11,7,1,116,4,705.64,35.28,670.36,291.24
381,2024-03-17,22,6,2,344,3,607.95,40.53,567.42,279.18
382,2025-07-17,45,2,1,425,1,38.67,0.0,38.67,17.8
383,2024-08-27,49,5,2,309,2,284.3,0.0,284.3,136.28
384,2024-09-19,42,9,2,64,4,626.88,31.34,595.54,420.56
385,2024-01-13,13,15,1,416,5,246.5,4.93,241.57,109.0
386,2024-11-07,25,7,1,184,3,306.21,20.41,285.8,210.27
387,2024-05-08,5,14,1,201,5,820.95,32.84,788.11,464.95
388,2024-02-11,7,8,1,419,4,926.76,23.17,903.59,615.12
389,2024-03-25,4,3,1,139,4,279.16,13.96,265.2,114.52
390,2025-08-02,9,1,1,314,4,179.44,8.97,170.47,75.6
391,2024-08-27,32,7,2,71,4,615.04,15.38,599.66,349.28
392,2025-10-12,10,5,2,260,3,496.62,0.0,496.62,253.5
393,2024-04-17,14,12,1,158,5,1142.7,45.71,1096.99,507.9
394,2024-05-06,49,5,2,205,2,172.4,0.0,172.4,79.4
395,2025-04-24,14,3,1,433,1,144.68,28.94,115.74,77.66
