customer_id,gender,age_group,loyalty_flag
131,,36-50,1
132,F,26-35,1
133,F,18-25,1
134,M,18-25,0
135,M,26-35,1
136,M,36-50,0
137,M,18-25,0
138,F,18-25,0
139,M,50+,1
140,,36-50,1
141,M,18-25,0
142,M,26-35,0
143,M,26-35,0
144,,26-35,0
145,,26-35,0
146,,26-35,1
147,M,26-35,0
148,M,36-50,0
149,,18-25,1
150,,36-50,1
151,F,50+,0
152,M,26-35,0
153,F,18-25,1
154,M,18-25,1
155,M,36-50,1
156,,26-35,0
157,F,50+,1
158,M,18-25,1
159,F,50+,0
160,,26-35,1
161,F,50+,1
162,M,36-50,0
163,F,50+,1
164,F,36-50,0
165,F,26-35,0
166,F,36-50,1
167,F,18-25,0
168,F,36-50,0
169,F,36-50,0
170,,26-35,1
171,,18-25,0
172,M,26-35,0
173,,36-50,1
174,,36-50,0
175,,18-25,0
176,F,26-35,1
177,,50+,1
178,,36-50,0
179,M,36-50,1
180,F,36-50,0
181,F,50+,0
182,F,18-25,0
183,,50+,0
184,M,50+,0
185,,50+,1
186,M,36-50,0
187,F,18-25,1
188,,26-35,1
189,F,36-50,0
190,F,26-35,0
191,F,36-50,1
192,F,36-50,0
193,F,18-25,1
194,,26-35,1
195,,18-25,0
196,M,50+,0
197,F,26-35,0
198,,18-25,1
199,,18-25,1
200,M,26-35,1
201,M,36-50,0
202,,18-25,1
203,M,50+,0
204,F,26-35,1
205,M,18-25,0
206,,50+,1
207,F,36-50,1
208,,18-25,1
209,F,50+,0
210,M,36-50,0
211,M,36-50,0
212,,18-25,1
213,F,18-25,0
214,F,50+,0
215,M,26-35,1
216,M,18-25,0
217,M,18-25,0
218,F,50+,1
219,F,18-25,0
220,,36-50,0
221,,50+,0
222,F,18-25,0
223,,26-35,1
224,M,18-25,1
225,M,50+,1
226,M,50+,1
227,F,50+,0
228,,26-35,0
229,M,26-35,1
230,,50+,0
231,,26-35,0
232,M,50+,1
233,,18-25,0
234,F,36-50,0
235,M,50+,1
236,F,36-50,1
237,M,50+,1
238,F,18-25,0
239,,36-50,1
240,F,18-25,0
241,M,26-35,1
242,M,26-35,1
243,F,18-25,0
244,F,26-35,1
245,F,50+,1
246,M,18-25,0
247,F,50+,1
248,M,26-35,1
249,F,36-50,0
250,,50+,1
251,M,26-35,1
252,F,26-35,0
253,M,18-25,1
254,,50+,0
255,M,18-25,1
256,F,18-25,1
257,F,26-35,0
258,,26-35,0
259,F,50+,0
260,M,36-50,0
261,,50+,1
262,F,36-50,1
263,F,50+,0
264,M,36-50,1
265,M,36-50,1
266,F,36-50,0
267,,50+,0
268,,36-50,1
269,,18-25,1
270,F,18-25,0
271,M,36-50,0
272,,36-50,0
273,F,36-50,0
274,M,50+,1
275,,18-25,1
276,,36-50,0
277,M,36-50,0
278,,18-25,1
279,F,36-50,0
280,,50+,1
281,M,18-25,1
282,,50+,1
283,M,18-25,1
284,M,50+,0
285,F,36-50,1
286,F,50+,0
287,M,36-50,1
288,M,18-25,1
289,,36-50,1
290,,36-50,0
291,F,18-25,1
292,F,36-50,1
293,M,18-25,1
294,,50+,0
295,F,18-25,0
296,F,26-35,1
297,M,36-50,0
298,F,18-25,0
299,M,50+,0
300,F,18-25,1
301,F,36-50,1
302,M,36-50,0
303,M,50+,1
304,F,50+,0
305,F,36-50,1
306,F,50+,1
307,F,50+,0
308,M,26-35,0
309,F,18-25,0
310,,50+,1
311,F,26-35,1
312,M,50+,1
313,M,36-50,0
314,,26-35,1
315,,36-50,1
316,F,50+,1
317,F,50+,1
318,F,26-35,0
319,,36-50,1
320,M,36-50,1
321,M,36-50,1
322,,50+,0
323,M,26-35,1
324,M,26-35,1
325,F,50+,1
326,M,18-25,1
327,M,26-35,1
328,M,50+,0
329,F,36-50,1
330,M,50+,0
331,M,18-25,1
332,M,50+,0
333,M,26-35,0
334,,26-35,0
335,F,18-25,1
336,M,36-50,0
337,,50+,1
338,M,50+,1
339,M,36-50,0
340,F,50+,1
341,,26-35,0
342,M,18-25,1
343,F,36-50,1
344,,50+,1
345,,50+,1
346,F,50+,1
347,M,36-50,1
348,,36-50,1
349,F,26-35,1
350,M,18-25,1
351,,50+,0
352,,26-35,1
353,F,50+,1
354,,26-35,1
355,,36-50,0
356,F,50+,0
357,M,50+,0
358,,36-50,0
359,F,18-25,1
360,M,50+,0
361,M,36-50,0
362,M,18-25,0
363,,50+,0
364,F,18-25,1
365,M,26-35,1
366,F,26-35,0
367,,26-35,1
368,M,26-35,0
369,,36-50,0
370,,18-25,0
371,,36-50,0
372,F,26-35,0
373,,18-25,0
374,,18-25,0
375,,18-25,1
376,,26-35,1
377,F,50+,1
378,,26-35,0
379,F,26-35,1
380,,36-50,0
381,,18-25,1
382,,18-25,0
383,F,18-25,1
384,,50+,1
385,,50+,0
386,M,18-25,0
387,M,26-35,1
388,F,18-25,1
389,,26-35,1
390,M,26-35,0
391,F,26-35,1
392,F,50+,0
393,F,26-35,1
394,,50+,0
395,,50+,1
396,,18-25,0
397,,26-35,0
398,F,50+,1
399,M,50+,0
400,,36-50,0
401,F,26-35,1
402,F,50+,1
403,,26-35,0
404,F,36-50,0
405,M,18-25,1
406,F,50+,0
407,F,50+,0
408,M,18-25,1
409,F,50+,0
410,,50+,1
411,F,18-25,1
412,F,36-50,0
413,M,36-50,1
414,,26-35,0
415,M,18-25,1
416,F,36-50,1
417,F,18-25,0
418,M,26-35,1
419,,36-50,1
420,F,18-25,1
421,,18-25,1
422,M,50+,0
423,,26-35,0
424,M,18-25,1
425,F,50+,1
426,M,26-35,0
427,,50+,1
428,,18-25,1
429,,18-25,1
430,,50+,0
431,,18-25,1
432,F,50+,1
433,F,18-25,1
434,F,36-50,1
435,F,36-50,1
436,,36-50,1
437,M,36-50,0
438,F,18-25,0
439,,36-50,0
440,M,26-35,1
441,,50+,1
442,F,26-35,0
443,,26-35,0
444,M,26-35,0
445,F,18-25,0
446,M,18-25,1
447,M,50+,0
448,M,50+,1
449,,50+,1
450,F,18-25,1
451,M,26-35,0
452,F,26-35,1
453,M,26-35,1
454,M,50+,1
455,,18-25,0
456,M,26-35,0
457,,18-25,0
458,,26-35,1
459,F,50+,1
460,F,26-35,0
461,,36-50,1
462,F,50+,0
463,,26-35,0
464,,26-35,0
465,F,26-35,1
466,M,26-35,1
467,,50+,0
468,F,36-50,1
469,F,26-35,1
470,,36-50,0
471,,18-25,0
472,,36-50,1
473,F,36-50,0
474,M,26-35,0
475,F,18-25,1
476,F,26-35,0
477,,36-50,1
478,M,26-35,1
479,,26-35,1
480,M,18-25,0
481,M,26-35,1
482,F,18-25,0
483,,50+,1
484,,26-35,1
485,,26-35,1
486,F,18-25,1
487,F,18-25,0
488,F,18-25,0
489,,50+,1
490,,18-25,0
491,,36-50,1
492,M,50+,1
493,,18-25,0
494,F,26-35,0
495,F,36-50,0
496,M,26-35,0
497,M,50+,0
498,F,18-25,1
499,M,36-50,1
500,,26-35,1
