sale_id,product_id,store_id,customer_id,channel_id,sale_date,year,month,month_name,quarter,season,is_weekend,product_name,brand,category,subcategory,store_name,region,state,city,gender,age_group,loyalty_flag,channel_name,quantity,gross_revenue,discount_value,net_revenue,cost,profit
57,1,12,318,2,2024-10-28,2024,10,October,4,Regular,0,"Produto 1",Eudora,Skincare,"Tratamento Facial","Loja 12",Nordeste,BA,Salvador,F,26-35,False,E-commerce,5,736.00,14.00,721.00,396.00,324.67
58,42,12,176,2,2024-07-21,2024,7,July,3,Regular,1,"Produto 42","O BoticÃ¡rio",Perfume,"NÃ£o Classificado","Loja 12",Nordeste,BA,Salvador,F,26-35,True,E-commerce,2,334.00,0.00,334.00,218.00,116.50
59,37,9,307,2,2024-03-02,2024,3,March,1,"Dia da Mulher",1,"Produto 37",Eudora,Skincare,"ProteÃ§Ã£o Solar","Loja 9",Sul,PR,Curitiba,F,50+,False,E-commerce,5,1218.00,24.00,1194.00,804.00,389.48
60,23,9,37,1,2025-12-22,2025,12,December,4,Natal,0,"Produto 23",Eudora,Maquiagem,Olhos,"Loja 9",Sul,PR,Curitiba,F,"NÃ£o Informado",True,"Loja FÃ­sica",3,681.00,0.00,681.00,335.00,345.75
61,33,8,408,1,2025-10-23,2025,10,October,4,Regular,0,"Produto 33","Quem Disse Berenice",Maquiagem,"PÃ³ Facial","Loja 8",Nordeste,BA,Salvador,M,18-25,True,"Loja FÃ­sica",2,398.00,39.00,358.00,195.00,163.84
62,22,13,495,2,2025-10-06,2025,10,October,4,Regular,0,"Produto 22",Eudora,Perfume,Amadeirado,"Loja 13",Sudeste,SP,"SÃ£o Paulo",F,"NÃ£o Informado",False,E-commerce,5,724.00,28.00,695.00,413.00,281.33
63,24,7,333,1,2025-02-24,2025,2,February,1,Regular,0,"Produto 24",Eudora,Skincare,Anti-Idade,"Loja 7",Sul,RS,"Porto Alegre",M,26-35,False,"Loja FÃ­sica",4,166.00,0.00,166.00,80.00,86.00
64,5,2,NULL,1,2024-10-05,2024,10,October,4,Regular,1,"Produto 5","Quem Disse Berenice",Perfume,Gourmand,"Loja 2",Nordeste,SE,Aracaju,NULL,NULL,NULL,"Loja FÃ­sica",5,183.00,7.00,176.00,104.00,71.42
65,49,11,277,2,2025-09-24,2025,9,September,3,Regular,0,"Produto 49",Eudora,Perfume,"NÃ£o Classificado","Loja 11",Nordeste,CE,Fortaleza,M,"NÃ£o Informado",False,E-commerce,4,167.00,0.00,167.00,87.00,80.68
66,44,4,497,2,2024-12-25,2024,12,December,4,Natal,0,"Produto 44","O BoticÃ¡rio",Maquiagem,Olhos,"Loja 4",Sul,PR,Curitiba,M,50+,False,E-commerce,1,32.00,3.00,29.00,18.00,10.59
67,27,8,366,1,2025-07-24,2025,7,July,3,Regular,0,"Produto 27","O BoticÃ¡rio",Perfume,Oriental,"Loja 8",Nordeste,BA,Salvador,F,26-35,False,"Loja FÃ­sica",1,155.00,31.00,124.00,104.00,19.99
68,29,8,273,1,2025-11-01,2025,11,November,4,"Black Friday",1,"Produto 29","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 8",Nordeste,BA,Salvador,F,"NÃ£o Informado",False,"Loja FÃ­sica",2,149.00,0.00,149.00,72.00,76.88
69,32,11,93,1,2024-01-18,2024,1,January,1,Regular,0,"Produto 32",Eudora,Maquiagem,Base,"Loja 11",Nordeste,CE,Fortaleza,M,50+,True,"Loja FÃ­sica",2,214.00,0.00,214.00,137.00,76.86
70,11,8,245,2,2025-06-20,2025,6,June,2,"Dia dos Namorados",0,"Produto 11",Eudora,Maquiagem,Olhos,"Loja 8",Nordeste,BA,Salvador,F,50+,True,E-commerce,1,165.00,16.00,148.00,80.00,68.19
71,36,14,418,2,2025-09-16,2025,9,September,3,Regular,0,"Produto 36","Quem Disse Berenice",Skincare,HidrataÃ§Ã£o,"Loja 14",Sul,RS,"Porto Alegre",M,26-35,True,E-commerce,2,68.00,0.00,68.00,28.00,40.32
72,39,15,390,1,2025-07-22,2025,7,July,3,Regular,0,"Produto 39","O BoticÃ¡rio",Skincare,Limpeza,"Loja 15",Nordeste,PE,Recife,M,26-35,False,"Loja FÃ­sica",4,890.00,44.00,846.00,523.00,323.02
73,39,5,401,2,2025-08-19,2025,8,August,3,Regular,0,"Produto 39","O BoticÃ¡rio",Skincare,Limpeza,"Loja 5",Sudeste,SP,"SÃ£o Paulo",F,26-35,True,E-commerce,3,624.00,20.00,603.00,420.00,182.39
74,21,8,335,2,2024-10-06,2024,10,October,4,Regular,1,"Produto 21",Eudora,Maquiagem,"NÃ£o Classificado","Loja 8",Nordeste,BA,Salvador,F,18-25,True,E-commerce,5,415.00,16.00,398.00,204.00,193.93
75,32,13,NULL,1,2024-12-04,2024,12,December,4,Natal,0,"Produto 32",Eudora,Maquiagem,Base,"Loja 13",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,"Loja FÃ­sica",3,454.00,30.00,424.00,182.00,241.72
76,46,12,413,1,2024-01-13,2024,1,January,1,Regular,1,"Produto 46","Quem Disse Berenice",Skincare,Anti-Idade,"Loja 12",Nordeste,BA,Salvador,M,"NÃ£o Informado",True,"Loja FÃ­sica",1,241.00,0.00,241.00,125.00,115.61
77,12,10,NULL,2,2025-09-22,2025,9,September,3,Regular,0,"Produto 12",Eudora,Skincare,"ProteÃ§Ã£o Solar","Loja 10",Nordeste,CE,Fortaleza,NULL,NULL,NULL,E-commerce,5,645.00,25.00,620.00,266.00,353.76
78,9,6,NULL,2,2025-04-13,2025,4,April,2,Regular,1,"Produto 9","O BoticÃ¡rio",Maquiagem,"PÃ³ Facial","Loja 6",Sudeste,MG,"Belo Horizonte",NULL,NULL,NULL,E-commerce,3,521.00,0.00,521.00,242.00,278.46
79,48,5,NULL,1,2025-03-25,2025,3,March,1,"Dia da Mulher",0,"Produto 48","Quem Disse Berenice",Perfume,Floral,"Loja 5",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,"Loja FÃ­sica",4,286.00,14.00,272.00,168.00,103.62
80,4,15,NULL,2,2024-02-19,2024,2,February,1,Regular,0,"Produto 4",Eudora,Perfume,Gourmand,"Loja 15",Nordeste,PE,Recife,NULL,NULL,NULL,E-commerce,2,209.00,0.00,209.00,126.00,82.84
81,10,7,225,1,2024-05-03,2024,5,May,2,"Dia das MÃ£es",0,"Produto 10",Eudora,Maquiagem,Batom,"Loja 7",Sul,RS,"Porto Alegre",M,50+,True,"Loja FÃ­sica",4,851.00,21.00,830.00,473.00,356.48
82,8,1,299,1,2024-04-23,2024,4,April,2,Regular,0,"Produto 8",Eudora,Perfume,Gourmand,"Loja 1",Nordeste,PE,Recife,M,50+,False,"Loja FÃ­sica",4,343.00,0.00,343.00,162.00,180.92
83,34,15,448,2,2025-07-23,2025,7,July,3,Regular,0,"Produto 34","O BoticÃ¡rio",Perfume,Oriental,"Loja 15",Nordeste,PE,Recife,M,50+,True,E-commerce,3,748.00,49.00,698.00,435.00,262.25
84,17,8,219,1,2025-01-21,2025,1,January,1,Regular,0,"Produto 17","Quem Disse Berenice",Maquiagem,"PÃ³ Facial","Loja 8",Nordeste,BA,Salvador,F,18-25,False,"Loja FÃ­sica",5,353.00,7.00,346.00,210.00,136.53
85,11,2,NULL,2,2025-01-13,2025,1,January,1,Regular,0,"Produto 11",Eudora,Maquiagem,Olhos,"Loja 2",Nordeste,SE,Aracaju,NULL,NULL,NULL,E-commerce,2,355.00,0.00,355.00,241.00,113.94
86,29,12,190,2,2025-12-17,2025,12,December,4,Natal,0,"Produto 29","Quem Disse Berenice",Skincare,"Tratamento Facial","Loja 12",Nordeste,BA,Salvador,F,26-35,False,E-commerce,3,260.00,0.00,260.00,180.00,80.16
87,25,14,134,1,2025-12-15,2025,12,December,4,Natal,0,"Produto 25",Eudora,Maquiagem,"PÃ³ Facial","Loja 14",Sul,RS,"Porto Alegre",M,18-25,False,"Loja FÃ­sica",2,139.00,6.00,132.00,64.00,68.12
88,27,7,336,1,2024-02-23,2024,2,February,1,Regular,0,"Produto 27","O BoticÃ¡rio",Perfume,Oriental,"Loja 7",Sul,RS,"Porto Alegre",M,"NÃ£o Informado",False,"Loja FÃ­sica",1,115.00,11.00,104.00,55.00,49.27
89,33,13,NULL,2,2025-02-04,2025,2,February,1,Regular,0,"Produto 33","Quem Disse Berenice",Maquiagem,"PÃ³ Facial","Loja 13",Sudeste,SP,"SÃ£o Paulo",NULL,NULL,NULL,E-commerce,3,713.00,23.00,689.00,382.00,306.62
90,24,4,NULL,2,2024-04-29,2024,4,April,2,Regular,0,"Produto 24",Eudora,Skincare,Anti-Idade,"Loja 4",Sul,PR,Curitiba,NULL,NULL,NULL,E-commerce,3,462.00,30.00,431.00,310.00,121.03
91,47,2,217,2,2024-01-26,2024,1,January,1,Regular,0,"Produto 47","Quem Disse Berenice",Skincare,HidrataÃ§Ã£o,"Loja 2",Nordeste,SE,Aracaju,M,18-25,False,E-commerce,1,107.00,21.00,86.00,70.00,15.82
92,15,10,299,2,2025-02-21,2025,2,February,1,Regular,0,"Produto 15",Eudora,Perfume,Amadeirado,"Loja 10",Nordeste,CE,Fortaleza,M,50+,False,E-commerce,5,909.00,36.00,873.00,613.00,259.90
93,22,8,154,1,2025-03-10,2025,3,March,1,"Dia da Mulher",0,"Produto 22",Eudora,Perfume,Amadeirado,"Loja 8",Nordeste,BA,Salvador,M,18-25,True,"Loja FÃ­sica",5,605.00,0.00,605.00,276.00,329.50
94,15,7,478,1,2024-11-17,2024,11,November,4,"Black Friday",1,"Produto 15",Eudora,Perfume,Amadeirado,"Loja 7",Sul,RS,"Porto Alegre",M,26-35,True,"Loja FÃ­sica",3,451.00,0.00,451.00,283.00,168.00
95,42,10,NULL,1,2025-08-22,2025,8,August,3,Regular,0,"Produto 42","O BoticÃ¡rio",Perfume,"NÃ£o Classificado","Loja 10",Nordeste,CE,Fortaleza,NULL,NULL,NULL,"Loja FÃ­sica",1,219.00,0.00,219.00,91.00,128.47
96,27,12,23,1,2024-01-28,2024,1,January,1,Regular,1,"Produto 27","O BoticÃ¡rio",Perfume,Oriental,"Loja 12",Nordeste,BA,Salvador,F,"NÃ£o Informado",True,"Loja FÃ­sica",3,704.00,23.00,680.00,322.00,358.21
97,41,5,180,2,2024-07-24,2024,7,July,3,Regular,0,"Produto 41","Quem Disse Berenice",Skincare,Limpeza,"Loja 5",Sudeste,SP,"SÃ£o Paulo",F,"NÃ£o Informado",False,E-commerce,1,246.00,0.00,246.00,114.00,131.35
98,18,12,318,1,2024-04-29,2024,4,April,2,Regular,0,"Produto 18",Eudora,Maquiagem,"PÃ³ Facial","Loja 12",Nordeste,BA,Salvador,F,26-35,False,"Loja FÃ­sica",3,219.00,0.00,219.00,149.00,70.50
99,45,3,187,1,2024-06-25,2024,6,June,2,"Dia dos Namorados",0,"Produto 45","O BoticÃ¡rio",Maquiagem,Base,"Loja 3",Sul,MS,"Campo Grande",F,18-25,True,"Loja FÃ­sica",1,89.00,0.00,89.00,43.00,45.30
100,6,12,53,2,2024-11-25,2024,11,November,4,"Black Friday",0,"Produto 6",Eudora,Perfume,Floral,"Loja 12",Nordeste,BA,Salvador,F,18-25,False,E-commerce,4,624.00,0.00,624.00,429.00,194.92
101,44,8,3,1,2024-12-30,2024,12,December,4,Natal,0,"Produto 44","O BoticÃ¡rio",Maquiagem,Olhos,"Loja 8",Nordeste,BA,Salvador,F,18-25,False,"Loja FÃ­sica",1,190.00,0.00,190.00,109.00,80.50
102,47,1,86,1,2025-03-08,2025,3,March,1,"Dia da Mulher",1,"Produto 47","Quem Disse Berenice",Skincare,HidrataÃ§Ã£o,"Loja 1",Nordeste,PE,Recife,F,"NÃ£o Informado",False,"Loja FÃ­sica",1,142.00,0.00,142.00,89.00,52.83
103,37,11,135,2,2025-08-15,2025,8,August,3,Regular,0,"Produto 37",Eudora,Skincare,"ProteÃ§Ã£o Solar","Loja 11",Nordeste,CE,Fortaleza,M,26-35,True,E-commerce,3,581.00,19.00,562.00,283.00,279.01
104,28,4,217,1,2025-01-11,2025,1,January,1,Regular,1,"Produto 28",Eudora,Skincare,"NÃ£o Classificado","Loja 4",Sul,PR,Curitiba,M,18-25,False,"Loja FÃ­sica",1,180.00,36.00,144.00,95.00,49.20
105,8,10,NULL,2,2025-02-07,2025,2,February,1,Regular,0,"Produto 8",Eudora,Perfume,Gourmand,"Loja 10",Nordeste,CE,Fortaleza,NULL,NULL,NULL,E-commerce,5,1220.00,0.00,1220.00,650.00,569.60
106,2,5,262,2,2025-10-24,2025,10,October,4,Regular,0,"Produto 2","O BoticÃ¡rio",Skincare,Anti-Idade,"Loja 5",Sudeste,SP,"SÃ£o Paulo",F,"NÃ£o Informado",True,E-commerce,4,980.00,0.00,980.00,622.00,358.00
107,42,1,191,2,2025-08-01,2025,8,August,3,Regular,0,"Produto 42","O BoticÃ¡rio",Perfume,"NÃ£o Classificado","Loja 1",Nordeste,PE,Recife,F,"NÃ£o Informado",True,E-commerce,2,123.00,6.00,117.00,51.00,65.42
